Name,LakeID,XMin,XMax,YMin,YMax,time_2018,expectedValue,beamID,time_2020,expectedValue,beamID2,KeepData,,TrackNumber1,TrackNumber2,TrackNumber3,beamID3,TrackNumber4,beamID4
shasta,-122.0_40.9,-122.4653,-122.028,40.7082,40.9399,2018-12-27T00:00:00Z,270,gtl2,2020-12-22T00:00:00Z,265,gtl2,TRUE,,1370,448,,,,
oroville,-121.0_44.9,-121.6474,-121.278,39.5166,39.6961,2019-01-22T00:00:00Z,188,gtl1,2020-10-19T00:00:00Z,197,gtl2,FALSE,,364,,,,,
trinity,-122.5_41.1,-122.901,-122.5446,40.7567,41.1168,2018-12-28T00:00:00Z,676,gtl1,2020-12-24T00:00:00Z,671,gtl1,TRUE,,6,486,,,,
newMelones,-120.3_38,-120.6172,-120.3996,37.8674,38.068,2018-10-19T00:00:00Z,286,gtl1,2020-10-15T00:00:00Z,277,gtl1,TRUE,,326,,,,,
donPedro,-120.2_37.8,-120.4656,-120.2742,37.6722,37.8841,2018-10-19T00:00:00Z,286,gtl2,2020-10-15T00:00:00Z,278,gtl3,TRUE,,1187,,,,,
berryessa,-122_38.7,-122.4231,-122.0885,38.4582,38.7257,2019-12-27T00:00:00Z,101.5,gtl2,2021-11-18T00:00:00Z,92.5,gtl3,TRUE,,364,,,,,
almanor,-121_40.3,-121.2791,-121.0281,40.0857,40.3638,2018-11-20T00:00:00Z,1347,gtl1,2020-08-27T00:00:00Z,1346,gtl1,TRUE,,806,829,,,,
folsom,-121_38.8,-121.2313,-121.0102,38.6438,38.8652,2019-2-20T00:00:00Z,102.5,gtl1,2020-11-17T00:00:00Z,90.7,gtl1,TRUE,,829,,,,,
mcclure,-122.8_39.4,-122.9878,-122.8973,39.3902,39.4501,2018-12-28T00:00:00Z,676,glt1,2020-12-24T00:00:00Z,670,gtl1,TRUE,,509,,,,,
pineFlat,-118.3_35.7,-118.5031,-118.3808,35.6334,35.7259,2018-11-08T00:00:00Z,202,gtl2,2020-11-09T00:00:00Z,207,gtl3,FALSE,,646,,,,,
newBullardsBar,-121_31.5,-121.1978,-121.0521,39.3995,31.5162,2019-11-20T00:00:00Z,546,gtl2,2020-11-17T00:00:00Z,540,gtl3,TRUE,,829,,,,,
diamondValley,-115.5_33.5,-116.1981,-115.5361,33.0197,33.5938,2018-11-25T00:00:00Z,495,gtl2,2020-11-20T00:00:00Z,495,gtl3,FALSE,,1263,21,463,"gtl1,2,3",318,"gtl1,2,3"
tahoe,-119.8_37.2,-120.2174,-119.8452,38.8946,37.2728,2018-10-14T00:00:00Z,1874,gtl2,2020-10-10T00:00:00Z,1874,gtl2,FALSE,,1210,242,,,,
havasu,-114.2_34.6,-114.4868,-114.261,34.3764,34.6001,2018-10-20T00:00:00Z,105.5,gtl1,2020-10-16T00:00:00Z,105,gtl2,TRUE,,341,1141,,,,
isabella,-118.3_35.7,-118.5053,-118.3722,35.629,35.7193,2019-11-02T00:00:00Z,751,gtl1,2021-05-06T00:00:00Z,746,gtl2,TRUE,,646,,,,,
clearLake,-122.5_39.1,-122.9723,-122.5953,38.8702,39.1723,2019-01-30T00:00:00Z,373,gtl3,2021-01-26T00:00:00Z,373,gtl1,FALSE,,928,509,951,gtl1,,
millerton,-122.7_38.1,-122.7645,-122.7182,38.0614,38.1019,2019-03-12T00:00:00Z,138.5,gtl1,2020-12-06T00:00:00Z,117.8,gtl1,TRUE,,1370,509,,,,
camanche,-120.8_38.2,-121.0454,-120.8782,48.1444,38.2941,2019-11-20T00:00:00Z,36,gtl2,2022-02-14T00:00:00Z,32.8,gtl2,TRUE,,829,303,,,,
sonoma,-122.1_38.7,-122.3429,-122.111,38.4692,38.7059,2018-10-30T00:00:00Z,100,gtl1,2020-10-26T00:00:00Z,98,gtl1,TRUE,,867,,,,,
nacimiento,-120.8_35.7,-121.0143,-120.8845,35.7098,35.7695,2019-01-22T00:00:00Z,185,gtl2,2021-08-11T00:00:00Z,183,gtl2,TRUE,,,,,,,
hetchHetchy,-120.3_37.8,-120.4789,-120.3076,37.661,37.8945,2018-10-19T00:00:00Z,208,gtl2,2020-10-15T00:00:00Z,207,gtl3,TRUE,,,,,,,
sanAntonio,-120.8_35.8,-120.9271,-120.8764,35.7831,35.8113,2019-01-22T00:00:00Z,178.5,gtl3,2022-02-09T00:00:00Z,174,gtl2,TRUE,,,,,,,
castaic,-118.5_34.6,-118.6842,-118.5465,34.5155,34.6177,2019-11-02T00:00:00Z,422,gtl2,2021-04-07T00:00:00Z,417,gtl1,TRUE,,,,,,,
newHogan,-120.7_38.2,-120.8361,-120.7208,38.1179,38.204,2019-03-21T00:00:00Z,178,gtl1,2021-06-16T00:00:00Z,171,gtl3,TRUE,,,,,,,
clear,-122.6_39.1,-122.9629,-122.6184,38.9067,39.162,2019-02-28T00:00:00Z,375,gtl1,2021-05-24T00:00:00Z,372,gtl3,TRUE,,,,,,,
cherry,-119.8_38,-119.9254,-119.8904,37.9704,38.0328,2018-11-12T00:00:00Z,1399,gtl3,2021-08-07T00:00:00Z,1398,gtl3,TRUE,,,,,,,
casitas,-119.3_34.4,-119.3671,-119.321,34.366,34.4097,2018-10-14T00:00:00Z,118,gtl3,2021-12-01T00:00:00Z,112,gtl1,TRUE,,,,,,,
sanVicente,-116.8_32.9,-116.9425,-116.8919,32.9108,32.95,2018-12-04T00:00:00Z,185,gtl3,2021-03-01T00:00:00Z,185,gtl1,FALSE,,,,,,,
whiskeytown,-122.5_40.6,-122.6019,-122.52,40.5954,40.6588,2018-12-28T00:00:00Z,338,gtl3,2020-12-24T00:00:00Z,338,gtl3,FALSE,,,,,,,
